frame, steps, LASI, LPSI, RASI, RPSI, RKNE, RTHI, RANK, RTIB, RHEE, RTOE, LKNE, LTHI, LANK, LTIB, LHEE, LTOE, C7, CLAV, LSHO, RBAK, RSHO, STRN, T10, LBHD, LFHD, RBHD, RFHD, RELB, RUPA, RWRA, RWRB, RFIN, LELB, LUPA, LWRA, LWRB, LFIN
53, 102, 0.097688, 0.0856997, 0.0885063, 0.0803539, 0.0166907, 0.0452022, 0.00498181, 0.0110995, 0.00138381, 0.000482854, 0.0515369, 0.0595277, 0.0403095, 0.0363018, 0.0538979, 0.0207519, 0.0135059, 0.0374499, 0.0144942, 0.0511715, 0.0471376, 0.0648792, 0.0513335, 0.0815266, 0.106683, 0.0800577, 0.106353, 0.142332, 0.114986, 0.0824348, 0.0725439, 0.0679798, 0.0622039, 0.0301311, 0.276296, 0.28904, 0.344249
54, 96, 0.0963598, 0.0840582, 0.0863558, 0.0785061, 0.0158422, 0.0428687, 0.00350431, 0.0114312, 0.00344109, 0.00183572, 0.0524927, 0.05921, 0.0398468, 0.0358476, 0.0531826, 0.0209886, 0.0125146, 0.03628, 0.0144051, 0.0496746, 0.0457722, 0.0633696, 0.0501606, 0.0791661, 0.10314, 0.0781033, 0.103355, 0.138433, 0.111709, 0.076472, 0.0658637, 0.0618548, 0.0589921, 0.0297916, 0.265313, 0.277582, 0.330745
55, 81, 0.0950019, 0.0824333, 0.0845714, 0.0769445, 0.0148705, 0.0409155, 0.0024616, 0.0116592, 0.00517457, 0.00314828, 0.0533274, 0.0585977, 0.0384888, 0.0347871, 0.0513279, 0.020962, 0.0116035, 0.0352033, 0.014336, 0.0482319, 0.0445169, 0.0619424, 0.0490246, 0.0767622, 0.0995846, 0.0760028, 0.100284, 0.134017, 0.108108, 0.0701595, 0.0587534, 0.0556729, 0.0557425, 0.0297048, 0.253032, 0.264735, 0.31556
56, 81, 0.0938478, 0.0810756, 0.0832032, 0.075797, 0.013885, 0.0395251, 0.00232502, 0.0118431, 0.0062377, 0.00413168, 0.0539281, 0.0577071, 0.0360459, 0.0330811, 0.0479724, 0.0204935, 0.0108073, 0.0343161, 0.014356, 0.0469621, 0.0433835, 0.0607688, 0.0480521, 0.0743796, 0.0961161, 0.0738235, 0.0972622, 0.129122, 0.104218, 0.0636299, 0.0513003, 0.0497291, 0.0525466, 0.0299132, 0.239628, 0.250664, 0.298904
57, 80, 0.0931289, 0.0801863, 0.0821836, 0.0750787, 0.0129921, 0.0387255, 0.00275462, 0.0120692, 0.00647051, 0.00465865, 0.0541039, 0.0565845, 0.0324935, 0.0307879, 0.0429602, 0.0194064, 0.0101532, 0.03368, 0.0145833, 0.045958, 0.0423671, 0.0599642, 0.0473284, 0.0720845, 0.0928488, 0.0716598, 0.0944294, 0.123907, 0.100145, 0.0571244, 0.0436557, 0.0445261, 0.0494988, 0.0303897, 0.225328, 0.235626, 0.281055
58, 75, 0.0930191, 0.0798602, 0.0814044, 0.0747205, 0.0122617, 0.0383499, 0.00307544, 0.0123858, 0.00597557, 0.00475315, 0.0536047, 0.0553074, 0.0280675, 0.028075, 0.0365151, 0.017607, 0.00965803, 0.0333098, 0.0150897, 0.0452354, 0.041432, 0.0595601, 0.0468804, 0.0699465, 0.0899106, 0.0696168, 0.0919204, 0.118607, 0.0960334, 0.0510149, 0.036083, 0.0408548, 0.0466772, 0.0310199, 0.210427, 0.21999, 0.262388
59, 68, 0.0935698, 0.0800663, 0.080776, 0.0746155, 0.0117282, 0.0381345, 0.00301453, 0.0127967, 0.00503081, 0.00454868, 0.0521985, 0.0539885, 0.0232885, 0.0251973, 0.0292716, 0.015177, 0.00932366, 0.0331717, 0.0157989, 0.044717, 0.0405205, 0.0595049, 0.0466818, 0.0680346, 0.0874015, 0.0677875, 0.0898192, 0.113467, 0.0920188, 0.0458509, 0.0291207, 0.0397443, 0.0441176, 0.0316239, 0.195295, 0.20423, 0.243389
60, 62, 0.0946689, 0.0806695, 0.0802501, 0.0746589, 0.011424, 0.0378487, 0.00251492, 0.0132998, 0.00392858, 0.00419842, 0.0497854, 0.0527624, 0.0188694, 0.0224418, 0.0220819, 0.0124027, 0.00913476, 0.033198, 0.016503, 0.0442703, 0.0395715, 0.0596879, 0.0466677, 0.066402, 0.0853466, 0.0662359, 0.0881352, 0.108679, 0.0882026, 0.042386, 0.0239508, 0.0420258, 0.0417952, 0.0320072, 0.180341, 0.188841, 0.22461
61, 56, 0.0960858, 0.0814949, 0.0798132, 0.0747731, 0.0114053, 0.0373904, 0.00159523, 0.0139218, 0.00292555, 0.00380664, 0.0464649, 0.0517426, 0.0154871, 0.0200453, 0.0156821, 0.00966732, 0.00906923, 0.0333164, 0.0169873, 0.043766, 0.0385339, 0.0599829, 0.0467531, 0.0650704, 0.0836997, 0.0649944, 0.0868226, 0.104345, 0.0846381, 0.0414074, 0.0225454, 0.0477203, 0.0396334, 0.0320089, 0.165949, 0.174237, 0.206591
62, 51, 0.0975781, 0.0823953, 0.0794671, 0.0749139, 0.0117492, 0.0368244, 0.000321329, 0.0147174, 0.00244812, 0.00343007, 0.0424848, 0.0509654, 0.0134793, 0.0181184, 0.0104604, 0.00726836, 0.00911573, 0.033478, 0.0171467, 0.0431247, 0.0373761, 0.0602876, 0.0468536, 0.0640397, 0.0823995, 0.0640727, 0.0858257, 0.100475, 0.0813317, 0.04329, 0.0259588, 0.0560595, 0.0375508, 0.0315392, 0.152437, 0.160673, 0.189789
63, 47, 0.0989566, 0.0832663, 0.0792312, 0.0750662, 0.0125226, 0.0363463, 0.00129352, 0.0157362, 0.00304192, 0.00312048, 0.0381225, 0.0503777, 0.0126722, 0.01663, 0.00651932, 0.00532691, 0.00927876, 0.0336694, 0.0170184, 0.0423323, 0.0360867, 0.0605487, 0.0469045, 0.0633028, 0.0814164, 0.0634633, 0.085104, 0.0970013, 0.0782464, 0.0476981, 0.0328234, 0.0660464, 0.0355438, 0.0306059, 0.140036, 0.148243, 0.174539
64, 43, 0.100077, 0.0840212, 0.0791608, 0.0752362, 0.0137417, 0.0361881, 0.00309391, 0.0169948, 0.00448568, 0.00294724, 0.0336168, 0.0498819, 0.0125728, 0.0154692, 0.00404282, 0.00383972, 0.00956567, 0.0338968, 0.0167392, 0.0414177, 0.0346673, 0.0607547, 0.0468716, 0.0628434, 0.0807381, 0.0631369, 0.0846219, 0.0938107, 0.0753102, 0.053845, 0.0413305, 0.0768267, 0.0337621, 0.0293281, 0.128908, 0.136928, 0.161063
65, 40, 0.10084, 0.0845923, 0.0793219, 0.0754445, 0.0153535, 0.0365125, 0.00503662, 0.0184732, 0.0063378, 0.00297661, 0.0291657, 0.0493943, 0.01273, 0.0145303, 0.00358139, 0.00277055, 0.00997075, 0.0341624, 0.0164918, 0.0404026, 0.0331264, 0.0609085, 0.0467443, 0.0626237, 0.0803372, 0.0630422, 0.0843331, 0.0907736, 0.0724361, 0.0609229, 0.0503919, 0.087757, 0.0325327, 0.0279329, 0.119151, 0.126665, 0.149468
66, 38, 0.101226, 0.0849648, 0.0797348, 0.0757147, 0.0172533, 0.0373499, 0.00706346, 0.0201294, 0.00840819, 0.00323557, 0.0249322, 0.0488801, 0.0128882, 0.0137622, 0.00459669, 0.00209071, 0.0104722, 0.0344503, 0.0164484, 0.0392765, 0.031474, 0.0610008, 0.0465159, 0.0625739, 0.0801484, 0.0631138, 0.0841761, 0.0877675, 0.0695407, 0.0683021, 0.0594216, 0.0983672, 0.0322779, 0.0267283, 0.110785, 0.117395, 0.139744
67, 36, 0.10132, 0.0851831, 0.0803514, 0.0760591, 0.0193229, 0.0386041, 0.00914077, 0.021915, 0.0106235, 0.00370389, 0.0210342, 0.048357, 0.0129499, 0.0131706, 0.00586213, 0.001761, 0.0110414, 0.0347378, 0.0167241, 0.0380275, 0.0297331, 0.061018, 0.046182, 0.0626099, 0.080076, 0.0632875, 0.0840809, 0.0846919, 0.0665629, 0.0755513, 0.0680859, 0.10833, 0.0333195, 0.0260346, 0.103755, 0.109081, 0.131766
68, 34, 0.101256, 0.0853125, 0.0810913, 0.0764667, 0.021455, 0.0401054, 0.0112493, 0.0237819, 0.0129378, 0.00433798, 0.0175493, 0.0478703, 0.0129165, 0.0127984, 0.00694075, 0.00169699, 0.0116528, 0.0350134, 0.0173523, 0.0366808, 0.0279625, 0.0609676, 0.0457569, 0.0626736, 0.0800284, 0.0635049, 0.0839737, 0.081489, 0.0634821, 0.0824035, 0.0761918, 0.117444, 0.0356821, 0.0260787, 0.0979372, 0.101706, 0.125323
69, 33, 0.101168, 0.0854081, 0.0818787, 0.0769071, 0.0235622, 0.0416788, 0.0133672, 0.0256821, 0.0152965, 0.00508714, 0.0145512, 0.0474578, 0.0128534, 0.0126987, 0.00776817, 0.00178276, 0.0122835, 0.0352761, 0.0182709, 0.0352851, 0.026252, 0.060876, 0.0452744, 0.0627364, 0.0799387, 0.063711, 0.0837854, 0.0781531, 0.0603253, 0.0887137, 0.083635, 0.125617, 0.0390765, 0.0268952, 0.0931653, 0.0952464, 0.120147
70, 32, 0.101185, 0.0855186, 0.0826371, 0.0773399, 0.0255803, 0.0431937, 0.0154629, 0.0275697, 0.0176298, 0.00589557, 0.0121556, 0.0471244, 0.012858, 0.0129148, 0.00838775, 0.00192535, 0.0129079, 0.035519, 0.0193332, 0.0338821, 0.0246806, 0.0607629, 0.0447696, 0.0627722, 0.079771, 0.0638557, 0.0834694, 0.0747267, 0.0571532, 0.0944189, 0.0903673, 0.132829, 0.0430532, 0.0283087, 0.0892498, 0.0896594, 0.115955
71, 31, 0.101422, 0.0856961, 0.0832805, 0.0777272, 0.0274705, 0.0445795, 0.0175004, 0.029404, 0.0198647, 0.00670808, 0.0105401, 0.0468355, 0.013016, 0.0134647, 0.00886832, 0.0020731, 0.0134986, 0.0357239, 0.0203627, 0.0325009, 0.0232857, 0.0606301, 0.044264, 0.0627523, 0.0795182, 0.0639003, 0.0830089, 0.071286, 0.0540396, 0.0995046, 0.096375, 0.139107, 0.0471586, 0.0300211, 0.0860053, 0.0848749, 0.112479
72, 31, 0.101925, 0.0859764, 0.0837476, 0.0780487, 0.029216, 0.0458159, 0.0194457, 0.0311504, 0.0219465, 0.00748152, 0.00988405, 0.0465275, 0.0133649, 0.0143305, 0.00926401, 0.0022024, 0.0140321, 0.0358741, 0.0212191, 0.031175, 0.0220764, 0.0604733, 0.0437704, 0.0626613, 0.079184, 0.0638238, 0.082405, 0.0679299, 0.05106, 0.103985, 0.101665, 0.144505, 0.0510176, 0.0317339, 0.0832651, 0.0808025, 0.10949
73, 33, 0.102633, 0.0863539, 0.0840435, 0.0783099, 0.0308129, 0.0469126, 0.0212665, 0.0327776, 0.0238512, 0.008193, 0.010207, 0.0461286, 0.0138817, 0.0154519, 0.00959475, 0.00230249, 0.0144967, 0.0359673, 0.0218356, 0.0299485, 0.0210474, 0.0602991, 0.0433028, 0.0625022, 0.0787626, 0.063621, 0.0816625, 0.0647694, 0.0482888, 0.107888, 0.106258, 0.149097, 0.0543611, 0.0332288, 0.0808882, 0.077341, 0.106815
